app_id,developer_id,video,current_version,screenshots,developer_url,size,category,recent_changes,description_html,title,developer_email,interactive_elements,score,developer,iap,updated,description,price,free,histogram,required_android_version,editors_choice,icon,iap_range,url,content_rating,reviews,installs
com.bitmango.go.blockhexapuzzle,6249013288401661340,https://www.youtube.com/embed/F7ZhkYUXohE,1.5.47,[],https://www.bitmango.com,Varies with device,['GAME_PUZZLE'],,,Block! Hexa Puzzle™,help@bitmango.com,['Digital Purchases'],4.5,BitMango,True,"August 21, 2019",,0,True,"{1: None, 2: None, 3: None, 4: None, 5: None}",4.1 and up,True,https://lh3.googleusercontent.com/ZMzEEiWBL1FXj7Wgb0KJJCRIGVp0tzwOWca_G5-t24udSZLSNHTDLcCpAf9-Wxa5Yg,"('$0.99', '$9.99')",https://play.google.com/store/apps/details?id=com.bitmango.go.blockhexapuzzle,['Everyone'],501279,"50,000,000+"
com.train.taxi,SayGames,,1.3.1,[],https://www.mopub.com/legal/privacy/,30M,['GAME_PUZZLE'],,,Train Taxi,info@saygames.by,,4.4,SayGames,True,"August 20, 2019",,0,True,"{1: None, 2: None, 3: None, 4: None, 5: None}",4.1 and up,False,https://lh3.googleusercontent.com/QNpbHPhPXBI_RQajlXzSiroZnVsPqiM_BKEz60pJ70rumINiBm3Lxed-XivwTeQpLsI,"('$0.99', '$5.99')",https://play.google.com/store/apps/details?id=com.train.taxi,['Everyone'],289296,"10,000,000+"
com.stx.puzzlefuzzle,6990178528646658622,,1.0.7,[],https://lionstudios.cc/,89M,['GAME_PUZZLE'],,,Puzzle Fuzzle,support@supertapx.com,,3.6,Lion Studios,True,"August 14, 2019",,0,True,"{1: None, 2: None, 3: None, 4: None, 5: None}",4.1 and up,False,https://lh3.googleusercontent.com/U1L-hbj77_QgdvQaz4ant1_auAQSyt2AMYkWAeoHpM6ZUaX6qAG1LXytgeGre-etj-g,['Everyone'],https://play.google.com/store/apps/details?id=com.stx.puzzlefuzzle,['Everyone'],7761,"5,000,000+"
com.bitmango.go.linepuzzlepipeart,6249013288401661340,https://www.youtube.com/embed/aMrunRczX7c,1.4.31,[],https://www.bitmango.com,Varies with device,['GAME_PUZZLE'],,,Line Puzzle: Pipe Art,help@bitmango.com,['Digital Purchases'],4.6,BitMango,True,"August 21, 2019",,0,True,"{1: None, 2: None, 3: None, 4: None, 5: None}",4.1 and up,False,https://lh3.googleusercontent.com/2c7XoR-Hw_vGlU86K0BL6Zi-zKYoz2DPpcsh-X4aQ4qFW0yBe10dYmNybkGw0X3yeQ,"('$0.99', '$4.99')",https://play.google.com/store/apps/details?id=com.bitmango.go.linepuzzlepipeart,['Everyone'],22146,"1,000,000+"
com.lionstudios.mrbullet,6990178528646658622,https://www.youtube.com/embed/jmLEA4oOTug,1.8,[],http://lionstudios.cc,42M,['GAME_PUZZLE'],,,Mr Bullet - Spy Puzzles,hello@lionstudios.cc,['In-Game Purchases'],4.2,Lion Studios,True,"August 7, 2019",,0,True,"{1: None, 2: None, 3: None, 4: None, 5: None}",4.1 and up,False,https://lh3.googleusercontent.com/fZcOp94_ZY2QmVdj6vO-gPT3O7wUGURIoSCbL1LCJ234mjnzOMukYPGfoBaMQEPsCfs,"('$1.99', '$49.99')",https://play.google.com/store/apps/details?id=com.lionstudios.mrbullet,"['Teen', 'Violence, Blood']",170673,"10,000,000+"
com.gjg.colorfill3d,Good+Job+Games,,1.47,[],http://www.goodjobgames.com,Varies with device,['GAME_PUZZLE'],,,Color Fill 3D,contact@goodjobgames.com,,3.3,Good Job Games,True,"August 17, 2019",,0,True,"{1: None, 2: None, 3: None, 4: None, 5: None}",5.0 and up,False,https://lh3.googleusercontent.com/bKswHPN8pVBiRPt6wgA1iSiPLUfQ-v-8TrVd7iFl_AkMrPfzOkeydfFwjqI0i21cbzI,['Everyone'],https://play.google.com/store/apps/details?id=com.gjg.colorfill3d,['Everyone'],17135,"5,000,000+"
com.water.balls,SayGames,,1.1.0,[],https://www.mopub.com/legal/privacy/,25M,['GAME_PUZZLE'],,,Sand Balls,metalmobilegames@gmail.com,,4.2,SayGames,True,"August 24, 2019",,0,True,"{1: None, 2: None, 3: None, 4: None, 5: None}",4.1 and up,False,https://lh3.googleusercontent.com/U0hk5TisL-gYTm2anJElHtaNrJ52NdJnEjPjyygRnAXERW_tv2yo-wAVUM3sVIguf4CC,['Everyone'],https://play.google.com/store/apps/details?id=com.water.balls,['Everyone'],38478,"10,000,000+"
com.popcore.makesandwich,Popcore+Games,https://www.youtube.com/embed/MB63HZmfeuE,0.16.0,[],https://popcore.com,14M,['GAME_PUZZLE'],,,Sandwich!,hello@popcore.com,['In-Game Purchases'],4.1,Popcore Games,True,"August 22, 2019",,0,True,"{1: None, 2: None, 3: None, 4: None, 5: None}",5.1 and up,False,https://lh3.googleusercontent.com/gKjks7oidZ2VttmvATwUxE9C2tXuZkCbFYpkXmY8hiDxGWiGu8E3Gr9LKTSAMizrFVM,['In-Game Purchases'],https://play.google.com/store/apps/details?id=com.popcore.makesandwich,['Everyone'],11064,"1,000,000+"
com.kwalee.gunpuzzle,5095490389686529219,,1.1.0,[],http://privacy.servers.kwalee.com/privacy/Shootout3DEULA.html,46M,['GAME_PUZZLE'],,,Shootout 3D,info@kwalee.com,['In-Game Purchases'],3.8,Kwalee Ltd,True,"August 5, 2019",,0,True,"{1: None, 2: None, 3: None, 4: None, 5: None}",4.4W and up,False,https://lh3.googleusercontent.com/xwMEaVyHld2Xn43UhFleSq4U0QpkOePGjzp1enTQ-bP_KzKyKxg4xZgbm5M1AHNaVw,"('$3.99', '$14.49')",https://play.google.com/store/apps/details?id=com.kwalee.gunpuzzle,"['Everyone 10+', 'Fantasy Violence']",135087,"10,000,000+"
se.raketspel.digaround,Raketspel,https://www.youtube.com/embed/c5nTqyi0ipw,1.0.10,[],http://raketspel.se,43M,['GAME_PUZZLE'],,,Dig it!,dev@raketspel.se,,4.3,Raketspel,True,"August 21, 2019",,0,True,"{1: None, 2: None, 3: None, 4: None, 5: None}",4.4 and up,False,https://lh3.googleusercontent.com/IdZ2s5cGkJRPL4q0R6sh1o16fdakDDk48HZ1Z805t3pI81oe30-9ZdpZLfD4w8gYv8w,"('$0.99', '$9.99')",https://play.google.com/store/apps/details?id=se.raketspel.digaround,['Everyone'],44243,"5,000,000+"
